	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
115	PBMD-4CVS-GPU	PFOSD	12	15	11	-1	-1	C12/F15	-5.004516732182633	0.3604697863109624	CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12H11F15	0.17367611535562677	0.6265236811425171	-5.004516732182633	0.3604697863109624	-5.17819284753826	0.5124387340836947	True	21.29016876220703	-2.3849895000457764	3.615412950515747	-4.9272565841674805	0.08398132771253586
116	PBMD-4CVS-GPU	PFOSD	12	15	11	-1	-1	C12/Cl15	-4.942809011662902	0.2340678278793125	CCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C12H11Cl15	1.7087806911792844	0.5765289238492722	-4.942809011662902	0.2340678278793125	-6.651589702842187	0.526875556452053	True	21.736417770385742	-3.926816940307617	-4.503739356994629	-2.608114004135132	0.02186383306980133
128	PBMD-4CVS-GPU	PFOSD	8	18	0	-1	-1	C8/F18	-3.181137895355557	0.2750072085912664	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C8F18	1.4630150301492448	0.31672394540466964	-3.181137895355557	0.2750072085912664	-4.644152925504802	0.1571149032254414	True	26.39552116394043	-3.528704881668091	4.515692710876465	-3.8426520824432373	-0.18281523883342743
138	PBMD-4CVS-GPU	PFOSD	10	17	5	-1	-1	C10/F17	-3.7536578679488417	0.0422832934443845	CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C10H5F17	1.0166345587096521	0.14868241715538222	-3.7536578679488417	0.0422832934443845	-4.770292426658494	0.1425432715587206	True	29.631080627441406	0.29130300879478455	3.846179485321045	-5.456974983215332	0.01124055776745081
141	PBMD-4CVS-GPU	PFOSD	11	16	8	2	0	C11/F16/NH2	-3.49980715694578	0.2269481068476839	CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(N)(F)F	C11H9F16N	1.7235804999867361	0.5461790223204342	-3.49980715694578	0.2269481068476839	-5.223387656932516	0.4967958144159003	True	30.767526626586914	-2.8679111003875732	5.526590824127197	-1.5380300283432007	-0.39345675706863403
145	PBMD-4CVS-GPU	PFOSD	12	17	9	-1	-1	C12/F17	-5.372147330006388	0.7219653919699465	CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12H9F17	0.2724558536419801	0.7719394171021369	-5.372147330006388	0.7219653919699465	-5.6446031836483685	0.2732333004479292	True	31.287023544311523	-1.6121662855148315	4.305197238922119	-1.9213876724243164	1.935066819190979
149	PBMD-4CVS-GPU	PFOSD	11	16	10	1	1	C11/F16/NH1(CH3)1	-5.242397098287918	0.4118733520884741	CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)NC	C12H11F16N	1.1554994523658522	0.4889848186413108	-5.242397098287918	0.4118733520884741	-6.39789655065377	0.2635649724471738	True	32.304656982421875	-2.4863157272338867	5.966392517089844	-3.288208484649658	0.4344572126865387
157	PBMD-4CVS-GPU	PFOSD	11	0	24	2	0	C11Br0/NH2	-5.093015977521431	0.587884965550489	CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(N)(Br)Br	C11H7Br18N	-0.6555148971840232	0.7015358004912672	-5.093015977521431	0.587884965550489	-4.437501080337408	0.3828103272517912	True	36.62388229370117	-4.818795204162598	-1.6471153497695923	1.2790305614471436	3.6382319927215576
161	PBMD-4CVS-GPU	PFOSD	11	16	12	0	2	C11/F16/N(CH3)2	-5.17460054056844	0.3516085815043334	CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C)C	C13H13F16N	1.1226792782002795	0.5995468926803524	-5.17460054056844	0.3516085815043334	-6.297279818768719	0.4856211300336679	True	38.29347610473633	-2.1428685188293457	6.806231498718262	-2.7313358783721924	0.9928468465805054
164	PBMD-4CVS-GPU	PFOSD	10	19	3	-1	-1	C10/F19	-4.806157199058058	0.7771936017481839	CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C10H3F19	0.9243512793542825	0.8253461321159212	-4.806157199058058	0.7771936017481839	-5.73050847841234	0.2777883064500686	True	39.431724548339844	0.6929817199707031	4.921042442321777	-3.6906070709228516	0.6536787152290344
