Catalog,SMILES,SELFIES
S1036,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,[O][=C][Branch1_3][Branch2_3][N][O][C][C][Branch1_3][epsilon][O][C][O][c][c][c][c][Branch1_3][epsilon][F][c][Branch1_3][epsilon][F][c][Ring1][Branch1_3][N][c][c][c][c][Branch1_3][epsilon][I][c][c][Ring1][Branch1_2][F]
S1038,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,[O][c][c][c][c][c][Branch2_3][epsilon][F][-c][n][c][Branch1_3][Branch2_2][N][C][C][O][C][C][Ring1][Branch1_1][c][o][c][n][c][c][c][c][Ring1][Branch1_1][c][Ring1][Branch2_1][n][Ring1][=C][c][Ring2][epsilon][Branch1_2]
S1040,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,[C][N][C][Branch1_3][epsilon][=O][c][c][c][Branch2_3][epsilon][=S][O][c][c][c][c][Branch2_3][epsilon][Branch2_2][N][C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][epsilon][Cl][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][Ring1][Branch2_3][c][c][Ring1][S][c][c][n][Ring2][epsilon][Branch2_2][.][C][c][c][c][c][Branch1_3][Branch2_2][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O][c][c][Ring1][Branch2_2]
S1041,Cc1cccc(Nc2nc(-c3ccncc3)cs2)c1,[C][c][c][c][c][c][Branch1_3][#C][N][c][n][c][Branch1_3][Branch2_2][-c][c][c][n][c][c][Ring1][Branch1_1][c][s][Ring1][Branch2_3][c][Ring1][C]
S1042,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)CC(O)C(=O)O,[C][C][N][Branch1_3][Ring1][C][C][C][C][N][C][Branch1_3][epsilon][=O][c][c][Branch1_3][epsilon][C][nHexpl][c][Branch1_3][=S][/C][=C][\C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][Ring1][Branch2_3][c][Ring1][C][C][.][O][=C][Branch1_3][epsilon][O][C][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][=O][O]
S1047,O=C(CCCCCCC(=O)Nc1ccccc1)NO,[O][=C][Branch1_3][S][C][C][C][C][C][C][C][Branch1_3][epsilon][=O][N][c][c][c][c][c][c][Ring1][Branch1_1][N][O]
S1048,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,[C][c][c][c][Branch2_3][Ring1][Branch2_2][N][c][c][c][Branch1_3][O][N][C][C][N][Branch1_3][epsilon][C][C][C][Ring1][Branch1_2][n][c][Branch2_3][epsilon][Ring1][S][c][c][c][c][Branch1_3][F][N][C][Branch1_3][epsilon][=O][C][C][C][Ring1][epsilon][c][c][Ring1][F][n][Ring2][epsilon][Branch1_3][n][nHexpl][Ring2][epsilon][=O]
S1049,CC(N)C1CCC(C(=O)Nc2ccncc2)CC1.Cl.Cl,[C][C][Branch1_3][epsilon][N][C][C][C][C][Branch1_3][N][C][Branch1_3][epsilon][=O][N][c][c][c][n][c][c][Ring1][Branch1_1][C][C][Ring1][N][.][Cl][.][Cl]
S1053,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,[N][c][c][c][c][c][c][Ring1][Branch1_1][N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][C][C][N][C][Branch1_3][epsilon][=O][O][C][c][c][c][c][n][c][Ring1][Branch1_1][c][c][Ring1][C]
S1055,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,[C][n][c][c][Branch2_3][Ring1][O][C][=C][Branch2_3][epsilon][C][c][c][n][Branch1_3][S][C][C][C][N][Branch1_3][Branch2_3][C][c][c][c][c][c][n][Ring1][Branch1_1][C][C][Ring1][O][c][c][c][c][c][c][Ring2][epsilon][Ring1][Ring1][Branch1_1][C][Branch1_3][epsilon][=O][N][C][Ring2][epsilon][Branch2_2][=O][c][c][c][c][c][c][Ring1][Branch1_1][Ring2][epsilon][#C]
