Catalog,SMILES,SELFIES
S5720,CC(C)(C)C1NC(=O)OC2CCCC2OC/C=C/C(F)(F)c2nc3ccccc3nc2OC2CC(C(=O)NC3(C(=O)NS(=O)(=O)C4(C)CC4)CC3C(F)F)N(C2)C1=O,[C][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][N][C][Branch1_3][epsilon][=O][O][C][C][C][C][C][Ring1][Ring2][O][C][/C][=C][/C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][c][n][c][c][c][c][c][c][Ring1][Branch1_1][n][c][Ring1][Branch2_2][O][C][C][C][Branch2_3][epsilon][#C][C][Branch1_3][epsilon][=O][N][C][Branch1_3][=S][C][Branch1_3][epsilon][=O][N][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][C][Branch1_3][epsilon][C][C][C][Ring1][Ring1][C][C][Ring1][O][C][Branch1_3][epsilon][F][F][N][Branch1_3][Branch1_1][C][Ring2][epsilon][Branch1_1][C][Ring2][Ring1][N][=O]
S5722,CN1CCCN=C1/C=C/c1cccc(O)c1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,[C][N][C][C][C][N][=C][Ring1][Branch1_1][/C][=C][/c][c][c][c][c][Branch1_3][epsilon][O][c][Ring1][Branch1_2][.][O][=C][Branch1_3][epsilon][O][c][c][c][c][c][c][c][c][Ring1][Branch1_1][c][Branch2_3][epsilon][Branch1_3][C][c][c][Branch1_3][epsilon][O][c][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][c][c][c][c][c][c][c][Ring1][=O][Ring1][Branch1_1][c][Ring2][epsilon][Branch1_2][O]
S5723,COc1ccccc1OCCN.Cl,[C][O][c][c][c][c][c][c][Ring1][Branch1_1][O][C][C][N][.][Cl]
S5728,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1.Cl,[C][C][O][C][Branch1_3][epsilon][=O][C][Branch1_3][F][C][C][c][c][c][c][c][c][Ring1][Branch1_1][N][C][Branch1_3][epsilon][C][C][Branch1_3][epsilon][=O][N][Branch1_3][Branch1_3][C][C][Branch1_3][epsilon][=O][O][C][C][c][c][c][c][c][c][Ring1][Branch1_1][C][Ring1][Branch2_1][.][Cl]
S5733,CCCCCCCCCCCCCCCCCC(=O)O,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_3][epsilon][=O][O]
S5739,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,[O][C][Branch2_3][epsilon][Branch1_2][C][N][C][C][Branch1_3][epsilon][O][C][C][C][c][c][c][Branch1_3][epsilon][F][c][c][c][Ring1][Branch1_2][O][Ring1][Branch2_3][C][C][C][c][c][c][Branch1_3][epsilon][F][c][c][c][Ring1][Branch1_2][O][Ring1][Branch2_3]
S5740,O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,[O][=C][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_3][Branch1_2][C][C][C][Ring1][Branch1_1][C][N][Ring1][O][C][C][N][C][C][C][Ring1][Branch1_1][C][C][Ring1][Branch1_1]
S5748,O=C(CCc1ccc(O)cc1)c1c(O)cccc1OC1OC(CO)C(O)C(O)C1O,[O][=C][Branch1_3][N][C][C][c][c][c][c][Branch1_3][epsilon][O][c][c][Ring1][Branch1_2][c][c][Branch1_3][epsilon][O][c][c][c][c][Ring1][Branch1_2][O][C][O][C][Branch1_3][Ring1][C][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Ring1][Branch2_2][O]
S5749,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,[C][N][Branch1_3][epsilon][C][C][C][C][N][c][c][c][c][c][c][Ring1][Branch1_1][S][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][Ring1][N]
S5752,Cc1ccc(-c2ccc(C)cn2)nc1,[C][c][c][c][c][Branch1_3][O][-c][c][c][c][Branch1_3][epsilon][C][c][n][Ring1][Branch1_2][n][c][Ring1][O]
S5753,O=C(O)Cn1c2c(c3cc(F)ccc31)CN(C(=O)c1cccc3ccccc13)CC2,[O][=C][Branch1_3][epsilon][O][C][n][c][c][Branch1_3][N][c][c][c][Branch1_3][epsilon][F][c][c][c][Ring1][Branch1_2][Ring1][Branch2_2][C][N][Branch1_3][#C][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][c][c][c][c][Ring1][Branch2_2][Ring1][Branch1_1][C][C][Ring2][epsilon][Branch1_2]
S5764,COc1cc2c(cc1OC)-c1cc3nc4ccccc4nc3n1C(C)(C)C2,[C][O][c][c][c][c][Branch1_3][Branch1_3][c][c][Ring1][Branch1_1][O][C][-c][c][c][n][c][c][c][c][c][c][Ring1][Branch1_1][n][c][Ring1][Branch2_2][n][Ring1][O][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][Ring2][epsilon][Ring2]
S5766,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,[C][O][c][c][c][n][c][Branch1_3][S][N][Branch1_3][epsilon][C][C][C][C][N][C][Branch1_3][epsilon][=O][C][C][C][C][O][Ring1][Ring2][n][c][Branch1_3][epsilon][N][c][Ring1][#C][c][c][Ring2][epsilon][Branch1_1][O][C]
S5767,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,[C][O][C][C][C][O][c][c][c][Branch2_3][Ring1][Branch2_1][C][C][Branch2_3][epsilon][=C][C][C][Branch1_3][epsilon][N][C][Branch1_3][epsilon][O][C][C][Branch1_3][#C][C][Branch1_3][epsilon][=O][N][C][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][Branch1_2][epsilon][N][=O][C][Branch1_3][epsilon][C][C][C][Branch1_3][epsilon][C][C][c][c][c][Ring2][epsilon][O][O][C]
S5772,O=C(N/N=C/c1c(O)ccc2ccccc12)c1ccncc1,[O][=C][Branch1_3][=S][N][/N][=C][/c][c][Branch1_3][epsilon][O][c][c][c][c][c][c][c][c][Ring1][Branch2_3][Ring1][Branch1_1][c][c][c][n][c][c][Ring1][Branch1_1]
S5774,O=C(O)c1ccc(/C=C2/SC(=S)N(Cc3cccc(C(F)(F)F)c3)C2=O)cc1,[O][=C][Branch1_3][epsilon][O][c][c][c][c][Branch2_3][epsilon][=N][/C][=C][/S][C][Branch1_3][epsilon][=S][N][Branch1_3][S][C][c][c][c][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][Ring1][Branch2_2][C][Ring1][#N][=O][c][c][Ring2][epsilon][Branch1_2]
S5778,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,[C][O][C][Branch1_3][epsilon][=O][C][C][c][c][c][c][Branch1_3][N][O][C][C][Branch1_3][epsilon][O][C][N][C][Branch1_3][epsilon][C][C][c][c][Ring1][N]
S5780,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,[C][O][c][c][c][n][c][Branch2_3][epsilon][Ring1][N][C][C][N][Branch1_3][O][C][Branch1_3][epsilon][=O][c][c][c][c][o][Ring1][Ring2][C][C][Ring1][O][n][c][Branch1_3][epsilon][N][c][Ring1][#C][c][c][Ring2][epsilon][Branch1_1][O][C]
S5782,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,[C][O][c][c][c][n][c][Branch2_3][epsilon][Branch2_3][N][C][C][N][Branch1_3][#C][C][Branch1_3][epsilon][=O][C][C][O][c][c][c][c][c][c][Ring1][Branch1_1][O][Ring1][Branch2_2][C][C][Ring1][C][n][c][Branch1_3][epsilon][N][c][Ring2][epsilon][Branch1_2][c][c][Ring2][epsilon][Branch2_3][O][C]
S5783,CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[C][C][Branch1_2][epsilon][C][Branch1_3][epsilon][O][c][c][c][c][c][c][Ring1][Branch1_1][C][C][C][Branch1_3][#N][S][C][C][Branch1_3][Branch1_3][C][C][Branch1_3][epsilon][=O][O][C][C][Ring1][Branch1_2][c][c][c][c][c][Branch1_3][S][/C][=C][/c][c][c][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][n][Ring1][Branch2_3][c][Ring1][=C]
S5787,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,[C][C][C][C][c][o][c][c][c][c][Branch1_3][Branch2_3][N][S][Branch1_2][epsilon][C][Branch1_1][epsilon][=O][=O][c][c][Ring1][Branch2_3][c][Ring1][=O][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][#N][O][C][C][C][N][Branch1_3][Branch1_1][C][C][C][C][C][C][C][C][c][c][Ring1][=C]
S5791,Br.Cc1ccc(-c2cn3c4c(sc3n2)CCCC4)cc1,[Br][.][C][c][c][c][c][Branch1_3][=S][-c][c][n][c][c][Branch1_3][Branch2_1][s][c][Ring1][Ring2][n][Ring1][Branch1_3][C][C][C][C][Ring1][Branch2_1][c][c][Ring1][C]
S5792,O=C(Nc1ccc(CN2CCOCC2)cc1)c1ccc(-c2cccc(Cl)c2)o1,[O][=C][Branch1_3][=S][N][c][c][c][c][Branch1_3][Branch2_3][C][N][C][C][O][C][C][Ring1][Branch1_1][c][c][Ring1][O][c][c][c][c][Branch1_3][O][-c][c][c][c][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_2][o][Ring1][F]
S5793,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,[C][C][Branch1_3][epsilon][C][C][N][c][c][c][Branch2_3][epsilon][Branch1_1][N][C][Branch1_3][epsilon][=O][c][c][c][c][n][c][Ring1][Branch1_1][N][C][c][c][c][n][c][c][Ring1][Branch1_1][c][c][c][Ring2][epsilon][Ring2][Ring2][epsilon][Branch2_1]
S5795,C#CCNC1CCc2ccccc21,[C][#C][C][N][C][C][C][c][c][c][c][c][c][Ring1][Branch1_1][Ring1][Branch2_1]
S5796,Cl.Cl.Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,[Cl][.][Cl][.][F][c][c][c][c][Branch2_3][epsilon][=S][C][Branch2_3][epsilon][Branch1_2][O][C][C][N][C][C][N][Branch1_3][O][C][C][C][c][c][c][c][c][c][Ring1][Branch1_1][C][C][Ring1][N][c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][c][c][Ring2][epsilon][=O]
S5802,C=CCc1ccccc1OCC(O)CNC(C)C.Cl,[C][=C][C][c][c][c][c][c][c][Ring1][Branch1_1][O][C][C][Branch1_3][epsilon][O][C][N][C][Branch1_3][epsilon][C][C][.][Cl]
S5803,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,[O][=C][Branch1_3][epsilon][O][C][N][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][c][c][c][Branch1_3][Branch1_2][c][Ring1][Branch2_2][Ring1][Branch1_1][C][Ring1][=O][=O]
S5806,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,[C][N][Branch2_3][epsilon][Branch1_3][C][Branch1_3][epsilon][=O][C][C][C][O][c][c][c][c][nHexpl][c][Branch1_3][epsilon][=O][c][c][c][Ring1][Branch1_2][c][Ring1][Branch2_3][C][C][C][C][C][C][Ring1][Branch1_1]
S5808,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,[C][O][N][C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch2_3][Ring1][#N][-c][s][c][c][Branch1_3][Branch2_3][c][Ring1][Ring2][C][N][Branch1_3][epsilon][C][C][c][Branch1_3][epsilon][=O][n][Branch1_3][=O][-c][c][c][c][Branch1_3][Ring1][O][C][n][n][Ring1][Branch1_3][c][Branch1_3][epsilon][=O][n][Ring1][S][C][c][c][Branch1_3][epsilon][F][c][c][c][c][Ring1][Branch1_2][F][c][c][Ring2][epsilon][#C]
S5810,CCCCNNC(=O)c1ccc(Br)cc1,[C][C][C][C][N][N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][epsilon][Br][c][c][Ring1][Branch1_2]
S5814,CC(C)c1ccc(C(=O)NC(=N)N)cc1S(C)(=O)=O,[C][C][Branch1_3][epsilon][C][c][c][c][c][Branch1_3][F][C][Branch1_3][epsilon][=O][N][C][Branch1_3][epsilon][=N][N][c][c][Ring1][F][S][Branch1_2][epsilon][C][Branch1_1][epsilon][=O][=O]
S5815,O=S(=O)(NC1CCNCC1)c1cc(S(=O)(=O)c2ccccc2)ccc1C(F)(F)F,[O][=S][Branch1_1][epsilon][=O][Branch1_3][Branch2_3][N][C][C][C][N][C][C][Ring1][Branch1_1][c][c][c][Branch1_3][#N][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch1_1][c][c][c][Ring1][N][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F]
S5817,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Nc2ccccc2)cc1OC,[C][O][C][Branch1_3][epsilon][=O][c][s][c][c][c][Ring1][Ring2][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][Branch2_3][N][c][c][c][c][c][c][Ring1][Branch1_1][c][c][Ring1][O][O][C]
S5818,CC(Nc1ncnc2nc[nH]c12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1,[C][C][Branch1_3][=N][N][c][n][c][n][c][n][c][nHexpl][c][Ring1][Branch2_1][Ring1][Ring2][c][n][c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][c][Branch1_3][epsilon][=O][n][Ring1][F][-c][c][c][c][c][c][Ring1][Branch1_1]
S5836,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,[C][C][Branch1_3][epsilon][C][C][n][c][Branch1_3][epsilon][=O][n][Branch1_3][epsilon][C][c][Branch1_3][epsilon][=O][c][n][c][nHexpl][c][Ring1][Ring2][Ring1][F]
S5837,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)C,[C][c][c][c][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][c][Ring1][Branch2_1][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][Branch1_3][epsilon][C][C]
S5841,COc1ccc(CNC(=O)CCl)cc1OC,[C][O][c][c][c][c][Branch1_3][Branch2_2][C][N][C][Branch1_3][epsilon][=O][C][Cl][c][c][Ring1][F][O][C]
S5842,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,[C][=C][C][N][C][C][Branch2_3][epsilon][Ring2][C][Branch1_3][epsilon][=O][N][Branch1_3][Branch2_2][C][C][C][N][Branch1_3][epsilon][C][C][C][Branch1_3][epsilon][=O][N][C][C][C][C][c][c][c][c][c][nHexpl][c][c][Branch1_3][Branch1_2][c][Ring1][Branch2_1][Ring1][Ring2][C][C][Ring1][F][Ring2][epsilon][F]
S5843,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1.O=C(O)C(O)C(O)C(=O)O,[C][C][O][c][c][c][Branch1_3][epsilon][N][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][c][Ring1][Branch2_2][C][Branch1_3][epsilon][=O][N][C][C][C][N][Branch1_3][Branch2_3][C][C][C][C][=C][C][C][Ring1][Branch1_1][C][C][Ring1][O][.][O][=C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][=O][O]
S5857,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,[O][=c][n][Branch2_3][epsilon][Branch1_2][C][C][C][N][C][C][N][Branch1_3][O][c][c][c][c][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_2][C][C][Ring1][O][n][c][c][c][c][c][n][Ring2][epsilon][Branch1_2][Ring1][Branch1_1]
S5861,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,[C][O][C][Branch1_3][epsilon][=O][C][=C][Branch1_3][epsilon][C][N][C][Branch1_2][epsilon][C][=C][Branch2_3][epsilon][S][C][Branch1_3][epsilon][=O][O][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][N][Branch1_3][epsilon][C][C][C][C][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][c][c][c][c][c][c][Ring1][Branch1_1][C][Ring2][epsilon][=O][c][c][c][c][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][Ring1][Branch2_1]
S5862,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,[C][C][N][Branch1_3][Ring1][C][C][C][C][N][C][Branch1_3][epsilon][=O][c][c][c][Branch1_3][epsilon][Cl][c][Branch1_3][epsilon][N][c][c][Ring1][Branch1_3][O][C]
S5873,Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12.O.O.O,[Br][.][C][N][C][C][C][Branch1_3][#C][O][C][Branch1_3][epsilon][=O][C][Branch1_3][Ring1][C][O][c][c][c][c][c][c][Ring1][Branch1_1][C][C][Ring1][C][C][O][C][Ring1][epsilon][Ring1][#C][.][O][.][O][.][O]
S5886,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-],[C][N][Branch1_3][epsilon][C][C][Branch1_3][epsilon][=O][O][c][c][c][c][c][Branch1_3][Branch2_2][N+expl][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][c][Ring1][Branch2_2][.][C][O][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O-expl]
S5901,Cc1ccc(C2OC(CO)C(O)C(O)C2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.Cc1ccc(C2OC(CO)C(O)C(O)C2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O,[C][c][c][c][c][Branch1_3][S][C][O][C][Branch1_3][Ring1][C][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Ring1][Branch2_2][O][c][c][Ring1][#N][C][c][c][c][c][Branch1_3][O][-c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][s][Ring1][F][.][C][c][c][c][c][Branch1_3][S][C][O][C][Branch1_3][Ring1][C][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Ring1][Branch2_2][O][c][c][Ring1][#N][C][c][c][c][c][Branch1_3][O][-c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][s][Ring1][F][.][O]
S5903,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,[C][O][c][c][c][n][c][n][c][Branch1_3][=O][N][c][c][c][c][Branch1_3][epsilon][O][c][c][Ring1][Branch1_2][c][Ring1][=O][c][c][Ring1][C][O][C]
S5904,COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC,[C][O][c][c][c][n][c][n][c][Branch1_3][#C][N][c][c][c][Branch1_3][epsilon][Br][c][Branch1_3][epsilon][O][c][Branch1_3][epsilon][Br][c][Ring1][Branch2_1][c][Ring1][=N][c][c][Ring1][#C][O][C]
S5905,O=C(CCCCCCC(=O)NO)NO,[O][=C][Branch1_3][=O][C][C][C][C][C][C][C][Branch1_3][epsilon][=O][N][O][N][O]
S5906,O=C(O)c1ccnc(C(=O)O)c1,[O][=C][Branch1_3][epsilon][O][c][c][c][n][c][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][c][Ring1][Branch2_1]
S5909,Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCCC3C#N)cn2n1,[C][c][c][c][n][c][c][Branch2_3][epsilon][Branch2_3][C][Branch1_3][epsilon][=O][N][C][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][N][C][C][Branch1_3][epsilon][=O][N][C][C][C][C][Ring1][Ring2][C][#N][c][n][Ring2][epsilon][Branch1_1][n][Ring2][epsilon][Branch2_1]
S5911,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1C3CCC(C3)OC1C2,[O][=C][Branch1_3][=C][N][C][c][c][Branch1_3][epsilon][F][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_3][F][c][c][n][c][Branch1_3][Branch2_2][c][Branch1_3][epsilon][O][c][Ring1][Branch1_2][=O][C][Branch1_3][epsilon][=O][N][C][C][C][C][Branch1_3][Ring2][C][Ring1][Ring2][O][C][Ring1][Branch1_3][C][Ring1][#N]
S5913,O=c1[nH]c(=S)[nH]c(-c2ccccc2)c1Cc1c(O)ccc2ccccc12,[O][=c][nHexpl][c][Branch1_3][epsilon][=S][nHexpl][c][Branch1_3][Branch2_2][-c][c][c][c][c][c][Ring1][Branch1_1][c][Ring1][O][C][c][c][Branch1_3][epsilon][O][c][c][c][c][c][c][c][c][Ring1][Branch2_3][Ring1][Branch1_1]
S5914,O=C(Nc1cccc(Br)c1)c1cccc(S(=O)(=O)N2CCCCCC2)c1,[O][=C][Branch1_3][=O][N][c][c][c][c][c][Branch1_3][epsilon][Br][c][Ring1][Branch1_2][c][c][c][c][c][Branch1_3][C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][C][C][C][C][C][C][Ring1][Branch1_2][c][Ring1][=N]
S5916,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C,[C][O][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][=O][c][c][Ring1][Branch1_1][N][C][C][C][C][C][Ring1][Branch1_1][n][Branch1_3][epsilon][C][c][Branch1_3][epsilon][=O][n][Ring1][N][C]
S5917,CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1,[C][C][Branch1_3][epsilon][C][C][N][Branch2_3][Ring1][epsilon][C][Branch1_3][epsilon][=O][c][c][c][c][Branch2_3][epsilon][Branch1_3][-c][c][c][c][c][n][c][Branch1_3][F][N][C][Branch1_3][epsilon][=O][C][C][C][Ring1][epsilon][n][n][Ring1][N][Ring1][Branch2_3][c][c][Ring1][S][C][Ring2][epsilon][Branch2_2]
S5919,CC(C)CNc1ccnc(NCc2csc(-c3ccccc3)n2)n1.Cl,[C][C][Branch1_3][epsilon][C][C][N][c][c][c][n][c][Branch1_3][S][N][C][c][c][s][c][Branch1_3][Branch2_2][-c][c][c][c][c][c][Ring1][Branch1_1][n][Ring1][Branch2_3][n][Ring1][=C][.][Cl]
S5923,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1.Cl,[C][C][N][Branch1_3][Ring1][C][C][C][Branch1_3][epsilon][=O][N][c][c][c][c][Branch1_3][C][O][C][C][Branch1_3][epsilon][O][C][N][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][c][Branch1_3][Branch1_2][C][Branch1_2][epsilon][C][=O][c][Ring1][=C][.][Cl]
S5926,Cl.Clc1ccc(CCCOCCCN2CCCCC2)cc1,[Cl][.][Cl][c][c][c][c][Branch1_3][#N][C][C][C][O][C][C][C][N][C][C][C][C][C][Ring1][Branch1_1][c][c][Ring1][=C]
S5927,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,[C][C][Branch1_3][epsilon][C][N][C][Branch1_3][epsilon][=N][N][C][Branch1_3][epsilon][=N][N][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2]
S5932,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,[C][N][Branch2_3][epsilon][Branch1_2][C][Branch1_3][epsilon][=O][n][c][n][c][Branch1_3][O][-c][c][c][c][n+expl][Branch1_3][epsilon][O-expl][c][Ring1][Branch1_2][c][Ring1][F][C][C][C][C][C][C][Ring1][Branch1_1]
S5933,CC(=O)NC1=NN(C(C)=O)C(C)(c2ccccc2)S1,[C][C][Branch1_3][epsilon][=O][N][C][=N][N][Branch1_3][Branch1_2][C][Branch1_2][epsilon][C][=O][C][Branch1_2][epsilon][C][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][S][Ring1][N]
S5935,CC1CN(CC(Cc2ccccc2)C(=O)NCC(=O)O)CCC1(C)c1cccc(O)c1,[C][C][C][N][Branch2_3][epsilon][Branch1_2][C][C][Branch1_3][Branch2_3][C][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_3][epsilon][=O][N][C][C][Branch1_3][epsilon][=O][O][C][C][C][Ring2][epsilon][Ring1][Branch1_3][epsilon][C][c][c][c][c][c][Branch1_3][epsilon][O][c][Ring1][Branch1_2]
S5938,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,[C][C][O][C][Branch1_3][epsilon][=O][C][Branch1_3][F][C][C][c][c][c][c][c][c][Ring1][Branch1_1][N][C][C][C][c][c][c][c][c][c][Ring1][Branch1_1][N][Branch1_3][Branch1_3][C][C][Branch1_3][epsilon][=O][O][C][Ring1][N][=O]
S5940,O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1,[O][=C][Branch1_3][epsilon][O][C][C][C][N][C][C][C][Branch2_3][epsilon][Branch1_1][O][C][Branch1_3][O][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][c][c][c][c][c][n][Ring1][Branch1_1][C][C][Ring1][S]
S6005,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,[N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][=S][N][Branch1_3][Branch1_2][C][Branch1_2][epsilon][N][=O][c][c][Branch1_3][epsilon][F][c][c][c][c][Ring1][Branch1_2][F][n][c][Ring1][C][-c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][F]
S6073,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,[O][=C][Branch1_3][epsilon][O][C][c][c][c][c][c][c][Ring1][Branch1_1][N][c][c][Branch1_3][epsilon][Cl][c][c][c][c][Ring1][Branch1_2][Cl]
S6088,CN(C)c1ncnc2nc[nH]c12,[C][N][Branch1_3][epsilon][C][c][n][c][n][c][n][c][nHexpl][c][Ring1][Branch2_1][Ring1][Ring2]
S6094,Cl.O=C(O)Cc1c[nH]cn1,[Cl][.][O][=C][Branch1_3][epsilon][O][C][c][c][nHexpl][c][n][Ring1][Ring2]
S6112,O=C(O)CC(=O)C(=O)O,[O][=C][Branch1_3][epsilon][O][C][C][Branch1_3][epsilon][=O][C][Branch1_3][epsilon][=O][O]
