,Unnamed: 0,smiles,molwt,ccount,fcount,clcount,brcount
67,67,CCCCCCCCCC(Br)(Br)Br,375.903686908,10,0,0,3
68,68,CCCCCCCCCCC(F)(F)F,210.159535332,11,3,0,0
69,69,CCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,365.883694176,9,0,7,0
70,70,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,687.95529016,13,28,0,0
71,71,CCCCCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,421.946294432,13,0,7,0
72,72,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,725.4393482400003,8,0,18,0
73,73,CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1466.6508558599996,10,0,0,17
74,74,CCCCCC(F)(F)F,140.081285012,6,3,0,0
75,75,CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1155.008807588,10,0,0,13
76,76,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,637.95848372,12,26,0,0
77,77,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,498.00878634000003,11,19,0,0
78,78,CCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1522.7134561159996,14,0,0,17
79,79,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,540.055736532,14,19,0,0
80,80,CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,787.3041590600002,6,0,0,9
81,81,CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,382.115460964,13,11,0,0
82,82,CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,391.75879928,6,0,9,0
83,83,CCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,501.727804768,9,0,11,0
84,84,CCC(Cl)(Cl)C(Cl)(Cl)Cl,227.88338856,4,0,5,0
85,85,CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1126.97750746,8,0,0,13
86,86,CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)Br,645.4987849880001,7,0,0,7
87,87,CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,324.168798276,14,7,0,0
88,88,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,390.065317212,11,13,0,0
89,89,CCCCCC(Br)(Br)C(Br)(Br)Br,489.67776085200006,7,0,0,5
90,90,CCCCCCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,435.961944496,14,0,7,0
91,91,CCCCCCCCCCCCCC(Br)(Br)Br,431.966287164,14,0,0,3
92,92,CCCCCCC(Cl)(Cl)C(Cl)(Cl)Cl,283.945988816,8,0,5,0
93,93,CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1678.5344802519996,14,0,0,19
94,94,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,889.3147589600005,10,0,22,0
95,95,CCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,433.805749472,9,0,9,0
96,96,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,376.049667148,10,13,0,0
97,97,CCCCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)Br,715.5770353080001,12,0,0,7
98,98,CCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1013.2034335160002,11,0,0,11
99,99,CCCCCC(Br)(Br)Br,319.841086652,6,0,0,3
100,100,CCCCCCC(Br)(Br)C(Br)(Br)Br,503.69341091600006,8,0,0,5
101,101,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,462.027629964,11,17,0,0
102,102,CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,555.63421,8,0,13,0
103,103,CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1296.8141816599998,9,0,0,15
104,104,CCCCCC(Cl)(Cl)Cl,187.992633392,6,0,3,0
105,105,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,643.5016428800002,7,0,16,0
106,106,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,483.99313627600003,10,19,0,0
107,107,CCC(F)(F)C(F)(F)F,148.03114126,4,5,0,0
108,108,CCCCCCCCCCCCCC,198.23475095999999,14,0,0,0
109,109,CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1834.3555043879994,14,0,0,21
110,110,CCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,611.696810256,12,0,13,0
111,111,CCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,379.89934424,10,0,7,0
112,112,CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,957.1408332600002,7,0,0,11
113,113,CCCCCCCCCCC,156.187800768,11,0,0,0
114,114,CCCCCCC,100.12520051199999,7,0,0,0
115,115,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,647.99920566,14,25,0,0
116,116,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,404.080967276,12,13,0,0
117,117,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,348.01836702,8,13,0,0
118,118,BrC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,2365.713438799999,13,0,0,28
119,119,CCCCCCC(Br)(Br)Br,333.856736716,7,0,0,3
120,120,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,561.5639375200001,6,0,14,0
121,121,CCCCCCCC(Br)(Br)C(Br)(Br)Br,517.70906098,9,0,0,5
122,122,CCCCCCCCCCCCC(Cl)(Cl)Cl,286.10218384,13,0,3,0
123,123,CCCC(F)(F)C(F)(F)C(F)(F)F,212.043597764,6,7,0,0
124,124,CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,360.149954652,14,9,0,0
125,125,CCCCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1055.2503837080003,14,0,0,11
126,126,CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)Br,659.5144350520001,8,0,0,7
127,127,CCCCCCCCC(Br)(Br)Br,361.888036844,9,0,0,3
128,128,CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1664.5188301879996,13,0,0,19
129,129,CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,346.134304588,13,9,0,0
130,130,CCCCCCCCC(Cl)(Cl)Cl,230.03958358399998,9,0,3,0
131,131,BrC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,837.1833710000002,4,0,0,10
132,132,CC(F)(F)C(F)(F)C(F)(F)F,184.012297636,4,7,0,0
133,133,CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,999.1877834520002,10,0,0,11
134,134,CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,985.1721333880002,9,0,0,11
135,135,CCCCCCCCCC(Cl)(Cl)C(Cl)(Cl)Cl,325.992939008,11,0,5,0
136,136,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,683.980362036,14,27,0,0
137,137,CCCC(Cl)(Cl)C(Cl)(Cl)Cl,241.89903862399999,5,0,5,0
138,138,CCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,515.743454832,10,0,11,0
139,139,CCCC(F)(F)F,112.049984884,4,3,0,0
140,140,CCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,583.665510128,10,0,13,0
141,141,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,312.037210644,8,11,0,0
142,142,CCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,911.4163315680005,14,0,21,0
